SalePrice,id
120129.31638285173,1461
153008.78931274835,1462
181999.67177216802,1463
195952.28499780234,1464
197477.7032122035,1465
171222.79686163162,1466
178212.0685770586,1467
161123.56528457542,1468
193898.42022121898,1469
119925.53447730588,1470
189952.6237905828,1471
97385.89877839477,1472
96173.54601725194,1473
146413.76269308914,1474
113408.40023227438,1475
363559.0685025442,1476
250762.12819425605,1477
294599.09559145407,1478
299293.44565708213,1479
474977.72866128816,1480
325368.6913520468,1481
210850.50276419712,1482
177057.76758504263,1483
162710.84512153693,1484
191473.81632830817,1485
193107.85630871542,1486
339866.0295461026,1487
238341.40563298328,1488
193749.49101752572,1489
231349.00344699793,1490
195043.9609091488,1491
92756.67611514157,1492
189749.5884392125,1493
299951.2933458907,1494
293285.5911212206,1495
235701.9623490435,1496
179388.2743013592,1497
167787.27829460736,1498
162374.42494970985,1499
152697.8960481466,1500
174507.6419940886,1501
145503.650621222,1502
290290.38709623436,1503
242518.9634867148,1504
225593.85017791664,1505
188193.2251987875,1506
245834.5514780434,1507
202873.81058026507,1508
163898.0469976304,1509
143480.43843618763,1510
148092.6730057101,1511
175334.2576460948,1512
152363.39362498047,1513
155109.78084422945,1514
197374.46850365406,1515
157898.1108176084,1516
168347.7479253745,1517
132466.49684443168,1518
209170.3722104455,1519
127540.30850578826,1520
130083.4399992852,1521
178496.09289894503,1522
110130.44909133464,1523
125686.48217263765,1524
120266.16231472132,1525
113488.37444080878,1526
107566.08465710792,1527
137378.38934699463,1528
149722.52202127723,1529
184338.31192067437,1530
105988.75185360076,1531
98505.55209054302,1532
142816.3826774875,1533
127215.23655111785,1534
147673.8629600076,1535
106379.0570434406,1536
64977.60745299994,1537
147236.97205496192,1538
191933.60915635506,1539
94263.48389404129,1540
138707.10514196905,1541
139649.16783362327,1542
189700.66251999192,1543
85067.98504383801,1544
115257.94054333334,1545
135137.9479792653,1546
127884.17061106034,1547
138708.2787135602,1548
119838.52411651253,1549
135618.02321826073,1550
108885.03106547246,1551
136390.89906477084,1552
148289.76477491943,1553
116891.79147110344,1554
160376.90131114103,1555
